Class	Tx_expression	Gene_expression	DNase_Enh	DNase_Prom	H4K20me1_Enh	H4K20me1_Prom	H3K9me3_Enh	H3K9me3_Prom	H3K9ac_Enh	H3K9ac_Prom	H3K79me2_Enh	H3K79me2_Prom	H3K4me3_Enh	H3K4me3_Prom	H3K4me2_Enh	H3K4me2_Prom	H3K4me1_Enh	H3K4me1_Prom	H3K36me3_Enh	H3K36me3_Prom	H3K27me3_Enh	H3K27me3_Prom	H3K27ac_Enh	H3K27ac_Prom	H2A.Z_Enh	H2A.Z_Prom	CTCF_Enh	CTCF_Prom	Hi-C_contact
0	-0.997451	-0.982087	-0.973089	-0.104489	-0.886308	-0.31651	-0.926383	-0.429939	-0.996398	-0.432359	-0.988592	-0.140975	-0.998332	-0.560218	-0.995116	-0.164866	-0.928007	-0.286239	-0.95317	0.0819318	-0.95766	-0.894232	-0.996772	-0.634162	-0.973663	-0.572319	-0.283546	1	-0.801459
0	-0.997451	-0.982087	-0.986554	-0.104489	-0.914657	-0.31651	-0.934125	-0.429939	-0.994036	-0.432359	-0.987387	-0.140975	-0.997329	-0.560218	-0.976613	-0.164866	-0.853866	-0.286239	-0.923632	0.0819318	-0.972373	-0.894232	-0.994762	-0.634162	-0.975287	-0.572319	-0.984952	1	-0.779813
0	-0.997451	-0.982087	-0.405842	-0.104489	-0.88191	-0.31651	-0.85052	-0.429939	-0.93696	-0.432359	-0.982741	-0.140975	-0.815441	-0.560218	-0.599787	-0.164866	-0.765851	-0.286239	-0.917922	0.0819318	-0.934566	-0.894232	-0.951124	-0.634162	-0.563015	-0.572319	-0.950516	1	-0.800865
0	-0.997451	-0.982087	-0.914093	-0.104489	-0.944379	-0.31651	-0.947602	-0.429939	-0.997465	-0.432359	-0.995264	-0.140975	-0.99844	-0.560218	-0.990372	-0.164866	-0.96178	-0.286239	-0.972417	0.0819318	-0.968606	-0.894232	-0.997882	-0.634162	-0.954383	-0.572319	-0.407475	1	-0.759024
0	-0.997451	-0.982087	-0.964816	-0.104489	-0.922221	-0.31651	-0.914386	-0.429939	-0.996425	-0.432359	-0.992784	-0.140975	-0.997883	-0.560218	-0.991281	-0.164866	-0.951573	-0.286239	-0.955974	0.0819318	-0.945203	-0.894232	-0.995955	-0.634162	-0.957461	-0.572319	-0.231916	1	-0.817775
0	-0.997451	-0.982087	-0.991511	-0.104489	-0.944599	-0.31651	-0.904355	-0.429939	-0.996291	-0.432359	-0.992812	-0.140975	-0.997551	-0.560218	-0.989179	-0.164866	-0.92099	-0.286239	-0.956278	0.0819318	-0.961751	-0.894232	-0.99544	-0.634162	-0.977613	-0.572319	-0.99428	1	-0.929854
0	-0.997451	-0.982087	-0.97377	-0.104489	-0.927566	-0.31651	-0.917147	-0.429939	-0.996825	-0.432359	-0.994393	-0.140975	-0.995264	-0.560218	-0.979386	-0.164866	-0.923368	-0.286239	-0.961116	0.0819318	-0.897782	-0.894232	-0.997622	-0.634162	-0.932871	-0.572319	0.0236294	1	-0.908375
0	-0.997451	-0.982087	-0.986999	-0.104489	-0.930625	-0.31651	-0.916488	-0.429939	-0.996786	-0.432359	-0.991843	-0.140975	-0.998227	-0.560218	-0.994669	-0.164866	-0.962934	-0.286239	-0.958551	0.0819318	-0.950553	-0.894232	-0.997822	-0.634162	-0.978738	-0.572319	-0.986707	1	-0.956282
1	-0.997377	-0.990456	-0.452644	-0.077036	-0.843472	-0.531221	-0.8224	-0.486914	-0.527168	-0.371298	-0.883672	-0.424909	-0.257148	-0.0601688	-0.329396	-0.36529	-0.366752	-0.704483	-0.777887	1	-0.932419	-0.912387	-0.134726	-0.28058	-0.445333	-0.707588	-0.944471	-0.914844	1
1	-0.997377	-0.990456	-0.698907	-0.077036	-0.949798	-0.531221	-0.921406	-0.486914	-0.955289	-0.371298	-0.986872	-0.424909	-0.973501	-0.0601688	-0.806293	-0.36529	-0.730907	-0.704483	-0.943772	1	-0.967639	-0.912387	-0.858957	-0.28058	-0.879305	-0.707588	-0.959568	-0.914844	-0.171186
